Year,Period Number,Start Date,End Date
2026,1,2026-01-05,2026-01-18
2026,2,2026-01-19,2026-02-01
2026,3,2026-02-02,2026-02-15
2026,4,2026-02-16,2026-03-01
2026,5,2026-03-02,2026-03-15
2026,6,2026-03-16,2026-03-29
2026,7,2026-03-30,2026-04-12
2026,8,2026-04-13,2026-04-26
2026,9,2026-04-27,2026-05-10
2026,10,2026-05-11,2026-05-24
2026,11,2026-05-25,2026-06-07
2026,12,2026-06-08,2026-06-21
2026,13,2026-06-22,2026-07-05
2026,14,2026-07-06,2026-07-19
2026,15,2026-07-20,2026-08-02
2026,16,2026-08-03,2026-08-16
2026,17,2026-08-17,2026-08-30
2026,18,2026-08-31,2026-09-13
2026,19,2026-09-14,2026-09-27
2026,20,2026-09-28,2026-10-11
2026,21,2026-10-12,2026-10-25
2026,22,2026-10-26,2026-11-08
2026,23,2026-11-09,2026-11-22
2026,24,2026-11-23,2026-12-06
2026,25,2026-12-07,2026-12-20
2026,26,2026-12-21,2027-01-03
